variant,module,routing_similarity_rs,jaccard_drift,overlap_at_k,selection_shift,num_rows
int8,model.layers.0.mlp.gate,0.9876543209876544,0.012345679012345623,0.9907407407407407,0.0092592592592593,54.0
int8,model.layers.1.mlp.gate,0.9753086419753088,0.024691358024691246,0.9814814814814815,0.01851851851851849,54.0
int8,model.layers.10.mlp.gate,0.9753086419753086,0.024691358024691357,0.9814814814814815,0.01851851851851849,54.0
int8,model.layers.11.mlp.gate,0.9753086419753088,0.024691358024691246,0.9814814814814815,0.01851851851851849,54.0
int8,model.layers.12.mlp.gate,0.9753086419753086,0.024691358024691357,0.9814814814814815,0.01851851851851849,54.0
int8,model.layers.13.mlp.gate,0.9382716049382717,0.061728395061728336,0.9537037037037037,0.04629629629629628,54.0
int8,model.layers.14.mlp.gate,0.9382716049382718,0.061728395061728225,0.9537037037037037,0.04629629629629628,54.0
int8,model.layers.15.mlp.gate,0.9506172839506173,0.04938271604938271,0.9629629629629629,0.03703703703703709,54.0
int8,model.layers.2.mlp.gate,0.9259259259259259,0.07407407407407407,0.9444444444444444,0.05555555555555558,54.0
int8,model.layers.3.mlp.gate,0.9382716049382716,0.06172839506172845,0.9537037037037037,0.04629629629629628,54.0
int8,model.layers.4.mlp.gate,0.9629629629629631,0.03703703703703687,0.9722222222222222,0.02777777777777779,54.0
int8,model.layers.5.mlp.gate,0.9259259259259258,0.07407407407407418,0.9444444444444444,0.05555555555555558,54.0
int8,model.layers.6.mlp.gate,0.9629629629629629,0.03703703703703709,0.9722222222222222,0.02777777777777779,54.0
int8,model.layers.7.mlp.gate,0.9259259259259259,0.07407407407407407,0.9444444444444444,0.05555555555555558,54.0
int8,model.layers.8.mlp.gate,0.9629629629629629,0.03703703703703709,0.9722222222222222,0.02777777777777779,54.0
int8,model.layers.9.mlp.gate,0.9506172839506173,0.04938271604938271,0.9629629629629629,0.03703703703703709,54.0
int4,model.layers.0.mlp.gate,0.9506172839506173,0.04938271604938271,0.9629629629629629,0.03703703703703709,54.0
int4,model.layers.1.mlp.gate,0.9629629629629629,0.03703703703703709,0.9722222222222222,0.02777777777777779,54.0
int4,model.layers.10.mlp.gate,0.9629629629629629,0.03703703703703709,0.9722222222222222,0.02777777777777779,54.0
int4,model.layers.11.mlp.gate,0.9506172839506173,0.04938271604938271,0.9629629629629629,0.03703703703703709,54.0
int4,model.layers.12.mlp.gate,0.9506172839506173,0.04938271604938271,0.9629629629629629,0.03703703703703709,54.0
int4,model.layers.13.mlp.gate,0.9382716049382717,0.061728395061728336,0.9537037037037037,0.04629629629629628,54.0
int4,model.layers.14.mlp.gate,0.8888888888888891,0.11111111111111094,0.9166666666666666,0.08333333333333337,54.0
int4,model.layers.15.mlp.gate,0.9259259259259259,0.07407407407407407,0.9444444444444444,0.05555555555555558,54.0
int4,model.layers.2.mlp.gate,0.9382716049382717,0.061728395061728336,0.9537037037037037,0.04629629629629628,54.0
int4,model.layers.3.mlp.gate,0.9012345679012347,0.09876543209876532,0.9259259259259259,0.07407407407407407,54.0
int4,model.layers.4.mlp.gate,0.925925925925926,0.07407407407407396,0.9444444444444444,0.05555555555555558,54.0
int4,model.layers.5.mlp.gate,0.925925925925926,0.07407407407407396,0.9444444444444444,0.05555555555555558,54.0
int4,model.layers.6.mlp.gate,0.9382716049382716,0.06172839506172845,0.9537037037037037,0.04629629629629628,54.0
int4,model.layers.7.mlp.gate,0.8950617283950619,0.10493827160493807,0.9166666666666666,0.08333333333333337,54.0
int4,model.layers.8.mlp.gate,0.9506172839506173,0.04938271604938271,0.9629629629629629,0.03703703703703709,54.0
int4,model.layers.9.mlp.gate,0.9259259259259259,0.07407407407407407,0.9444444444444444,0.05555555555555558,54.0
